,id,alias,name,description,subscriptionCount,subscribed,read,createdAt,updatedAt,canPost,ignorePost,invisible,isSchool,fullyAnonymous,canUseNickname,shouldCategorized,shouldPostCategorized,hasPostCategories,titlePlaceholder,postTitlePlaceholder,subcategories,topics,nsfw,limitCountries,limitStage,availableLayouts,favorite,postThumbnail.size,ipCountryCondition.exclude,ipCountryCondition.include,postCount.last30Days,heroImage.url,heroImage.type,heroImage.width,heroImage.height,logo.url,logo.type,logo.width,logo.height,mediaThreshold.RACY,mediaThreshold.ADULT,mediaThreshold.VIOLENCE
234,f72e3b1d-3c9a-4fec-8a61-41c76cc317af,girl,女孩,專屬女孩的討論版，提供和女生有關的話題討論。也能在這裡匿名分享、抒發、詢問遇到的困擾，就像有一群閨蜜陪你度過每一天！,231845,False,False,2020-02-04T07:29:43.573Z,2021-04-08T07:01:54.394Z,False,False,False,False,True,True,False,False,False,發文記得加入「話題」分類喲！,,"['購物', '髮型', '心事']","['心事', '男友', '比基尼', '除毛', 'WhatsInMyBag', '內衣', '家人', '發胖', '桌布', '懷孕', '處女膜', '減肥', '第一次', '健身', '相處', '改造', '約炮', '月經', '小胸女孩', '手機桌布', '私密處', '疫苗', '霧眉', '念珠菌', '分手禮', '陰道冠', '豐胸', '韓服', '精品', '大胸女孩', '牙套', '夜店', '後背包', '皮膚科', '短夾', '棉條', '吊飾', '雙眼皮', '無肩帶內衣']",False,[],0,"['classic', 'link']",False,small,[],[],2192,https://megapx-assets.dcard.tw/images/a2b478f6-b7fc-4ea8-bb1b-38154772a736/orig.jpeg,image/jpeg,1800.0,600.0,https://megapx-assets.dcard.tw/images/0bba80d2-1a43-4f58-ac9a-a195e049a6a4/orig.jpeg,image/jpeg,200.0,200.0,,,
346,fc7574ad-e1df-43d2-bb06-8825c718c065,trending,時事,時事板歡迎針對國內外議題、國家政策、即時新聞等討論，也可在此分享時事議題的社論。,231577,False,False,2020-02-04T07:48:23.573Z,2020-05-20T10:27:54.393Z,False,False,False,False,False,True,False,False,False,發文記得加入「話題」分類喲！,,"['新聞', '討論', '爆料', '社論']","['武漢肺炎', '韓國瑜', '香港', '郭台銘', '蔡英文', '柯文哲', '警察', '反送中', '館長', '中天', '韓粉', '地勤', '示威', '武漢', '中國', '空姐', '活體器官', '台灣', '政治人物', '623上凱道', '金曲獎', '潘恆旭', '高雄市', '造勢', '2020總統大選', '新疆']",False,[],0,"['classic', 'link']",False,small,,,2509,https://megapx-assets.dcard.tw/images/b160637b-af6d-4105-9edf-49d58de3088b/orig.jpeg,image/jpeg,1800.0,600.0,https://megapx-assets.dcard.tw/images/4c8abb6f-513d-4d9c-ae20-a11f7642172a/full.jpeg,image/jpeg,200.0,200.0,,,
229,75a726e6-d4e3-4902-a410-2430a39fffcb,mood,心情,提供分享生活情緒、抒發心情或交流各種情緒處理的經歷故事。在這裡你可以安心匿名，用無壓力的書寫方式與卡友分享你的生活點滴。,227586,False,False,2020-02-04T07:28:53.573Z,2020-09-15T03:24:46.457Z,False,False,False,False,True,True,False,False,False,發文記得加入「話題」分類喲！！,,[],"['國軍', '1985', '女大十八變', '乾妹妹', '租屋糾紛', '畢旅', '感動的事', '一句晚安', '想念你', '謝謝你', '靠北', '勵志', '情緒勒索', '霸凌', '憂鬱症']",False,[],0,['classic'],False,small,,,8629,https://megapx-assets.dcard.tw/images/b34fa540-50a5-4f8e-ab24-9fc7b14c1b7d/full.jpeg,image/jpeg,1800.0,600.0,https://megapx-assets.dcard.tw/images/f1be2fc4-d860-4853-a7df-0a9fe0a2dc38/full.jpeg,image/jpeg,200.0,200.0,,,
212,b7db78c7-7b32-4da5-a565-907a892259d7,youtuber,YouTuber,只要有手機你就是Youtuber，一起將你的作品分享給全世界吧！,192999,False,False,2020-02-04T07:26:03.573Z,2020-10-07T10:21:01.877Z,False,False,False,False,False,True,False,False,False,,"請善用搜尋功能，不要發表相同或類似文章。

發文前請先仔細閱讀板規，若因違反板規而被刪文或禁言，請自行負責。",[],[],False,[],0,"['classic', 'link']",False,small,[],[],642,https://megapx-assets.dcard.tw/images/ad59c688-ad32-4b5d-b441-ee7fe8b4acfe/orig.jpeg,image/jpeg,1800.0,600.0,https://megapx-assets.dcard.tw/images/5b68ba39-26c6-4a36-8a6b-e7fe9bf60c7f/orig.jpeg,image/jpeg,200.0,200.0,,,
261,7ee21581-1307-4ba9-b9dc-82028bdcca49,pet,寵物,寵物板無論是貓狗、毛小孩或任何養其他寵物的經驗都可以在此討論，另外像是寵物協尋或動物醫院的分享也歡迎發文！,190137,False,False,2020-02-04T07:34:13.573Z,2020-09-10T05:53:51.152Z,False,False,False,False,False,True,True,False,False,發文記得加入「話題」分類喲！,,"['精選', '協尋', '狗', '貓', '小動物', '爬蟲', '水族']","['領養代替購買', '米克斯', '貓', '狗', '柯基', '柴犬', '認養', '貓咪真的很可愛', '動物醫院', '寵物美容', '結紮', '寵物店', '鳥', '兔', '魚', '刺蝟', '植物', '驅蟲', '疫苗']",False,[],0,"['classic', 'link']",False,large,[],[],1231,https://megapx-assets.dcard.tw/images/078d5aff-eb34-48e9-b220-d61ddd285843/full.jpeg,image/jpeg,1800.0,600.0,https://megapx-assets.dcard.tw/images/7608bd5b-19a5-4289-9be7-2479a55bba5a/full.jpeg,image/jpeg,200.0,200.0,,,
327,9b5213d6-4427-4a3c-b788-efa19493631c,fitness,健身,請看版規！！！看完歡迎在此發表健身相關話題，例如：重訓技巧、健身飲食、健身房評比、體脂控制等經驗分享。,189480,False,False,2020-02-04T07:45:13.573Z,2021-02-06T05:58:29.820Z,False,False,False,False,False,True,True,False,False,發文記得加入「話題」分類喲！,發文前看版規，發轉讓會籍、教練課相關貼文會永久禁言哦,['精選'],"['生酮飲食', '減脂', '乳清', '增肌', '健身器材', '健身房', '重訓', '臥推', '熱量', '啞鈴', '有氧', '深蹲', '減重', '蛋白質', '伏地挺身', '胸肌', '健美', '腹肌', '肌肉']",False,[],0,['classic'],False,small,,,529,https://megapx-assets.dcard.tw/images/be60b966-28fb-4e0b-b870-53a2f05d1243/full.jpeg,image/jpeg,1800.0,600.0,https://megapx-assets.dcard.tw/images/9a3eb658-2908-4b63-8081-4c26c07139a5/full.jpeg,image/jpeg,200.0,200.0,,,
287,0a859162-88d8-4406-8111-71c57aae84a1,netflix,Netflix,"希望大家能一起創造友善小天地
分享我們對於Netflix 的熱愛
ENJOY❤️",181862,False,False,2020-02-04T07:38:33.573Z,2020-09-24T09:53:10.189Z,False,False,False,False,False,True,False,False,False,,,[],[],False,[],0,"['classic', 'link']",False,small,[],[],164,https://megapx-assets.dcard.tw/images/9d953264-c016-49a1-95a3-24c9342cb6ad/full.jpeg,image/jpeg,600.0,200.0,https://megapx-assets.dcard.tw/images/e8ca3a5d-612f-45b7-8cff-55fc58167911/full.jpeg,image/jpeg,200.0,200.0,,,
328,8a2a0b9a-7664-49b0-bff7-58389ef73a0d,weight_loss,減肥,"本板供大家討論減肥上的任何問題和困難，互相扶持。
減肥的路上常覺得很孤單、路很長，可以上來多多交流，大家共同成長，期待都能夠達到自己的目標💜",173761,False,False,2020-02-04T07:45:23.573Z,2020-10-16T10:42:05.088Z,False,False,False,False,False,True,False,False,False,,,[],"['飲食', '運動', '勵志']",False,[],0,"['classic', 'link']",False,small,[],[],378,https://megapx-assets.dcard.tw/images/f7247eb7-828d-40cd-a5f1-cd1de4c210c7/orig.jpeg,image/jpeg,1800.0,599.0,https://megapx-assets.dcard.tw/images/8bf5bed9-c587-46f5-b740-ddf03b2bfd43/full.jpeg,image/jpeg,200.0,200.0,,,
342,817d71bb-ebdf-4326-b8aa-10df4fcdf03a,savemoney,省錢,"歡迎大家交流各種優惠訊息與省錢方法討論。
發文前，記得把標題分類唷！",168840,False,False,2020-02-04T07:47:43.573Z,2020-08-13T05:57:55.219Z,False,False,False,False,False,True,False,False,True,,發文前，先選擇↑標題分類,[],"['買一送一', '生日優惠', '折價券', '折扣碼']",False,[],0,"['classic', 'link']",False,small,[],[],863,https://megapx-assets.dcard.tw/images/a5d488c2-9b05-4b1f-8348-221be4b2ef73/orig.jpeg,image/jpeg,1800.0,600.0,https://megapx-assets.dcard.tw/images/f9adcb6a-ca82-4741-b457-7ab2118aa89f/orig.jpeg,image/jpeg,200.0,200.0,,,
283,a255fb97-4199-4bd0-9b28-1ec2c0d2f382,travel,旅遊,旅遊板歡迎分享你的旅行紀錄或是國內外自由行、背包客心得、打工度假、機票購買等經驗，或是有什麼國內外不可錯過的旅遊景點也歡迎發文分享哦！,166373,False,False,2020-02-04T07:37:53.573Z,2020-10-08T08:34:15.894Z,False,False,False,False,False,True,True,False,False,發文記得加入「話題」分類喲！,,"['精選', '臺灣', '日韓', '亞洲', '歐美']","['畢旅', '自由行', '賞楓', '海外志工', '台灣秘境', '臥鋪火車', '獨旅', '飛機餐', '沙發衝浪', '韓國', '穿旗袍遊台南', '首爾', '自由行', '展覽', '畢旅', '泰國浴', '泰國', '環島', '景點', '郵輪', '網卡', '香港自由行', '地鐵', '遊記', '大阪', '青年旅舍', '旅行社', '跟團', '行李箱', '租車', '機票', '護照', '簽證', '打工度假', '廉航', '打工換宿']",False,[],0,"['classic', 'link', 'image', 'video']",False,large,[],[],490,https://megapx-assets.dcard.tw/images/0287c747-1a5c-4029-9333-7c60150f6eed/full.jpeg,image/jpeg,1800.0,600.0,https://megapx-assets.dcard.tw/images/e41ed51a-ecf9-4d39-9259-4bcc0dbc8465/full.jpeg,image/jpeg,200.0,200.0,,,
